399,7;0,00%;0
400,2;-1,20%;-0,012
400,6;-1,10%;-0,011
401,1;-1,00%;-0,01
401,6;-0,90%;-0,009
402,1;-0,80%;-0,008
402,6;-0,70%;-0,007
403;-0,70%;-0,007
403,5;-0,60%;-0,006
404;-0,60%;-0,006
404,5;-0,60%;-0,006
405;-0,60%;-0,006
405,5;-0,60%;-0,006
405,9;-0,70%;-0,007
406,4;-0,80%;-0,008
406,9;-0,80%;-0,008
407,4;-0,90%;-0,009
407,9;-0,90%;-0,009
408,4;-0,90%;-0,009
408,8;-0,80%;-0,008
409,3;-0,70%;-0,007
409,8;-0,70%;-0,007
410,3;-0,60%;-0,006
410,8;-0,50%;-0,005
411,2;-0,50%;-0,005
411,7;-0,40%;-0,004
412,2;-0,40%;-0,004
412,7;-0,40%;-0,004
413,2;-0,40%;-0,004
413,7;-0,40%;-0,004
414,1;-0,50%;-0,005
414,6;-0,50%;-0,005
415,1;-0,60%;-0,006
415,6;-0,60%;-0,006
416,1;-0,70%;-0,007
416,5;-0,70%;-0,007
417;-0,70%;-0,007
417,5;-0,70%;-0,007
418;-0,60%;-0,006
418,5;-0,60%;-0,006
419;-0,50%;-0,005
419,4;-0,40%;-0,004
419,9;-0,40%;-0,004
420,4;-0,30%;-0,003
420,9;-0,30%;-0,003
421,4;-0,30%;-0,003
421,9;-0,40%;-0,004
422,3;-0,40%;-0,004
422,8;-0,40%;-0,004
423,3;-0,40%;-0,004
423,8;-0,40%;-0,004
424,3;-0,40%;-0,004
424,7;-0,40%;-0,004
425,2;-0,40%;-0,004
425,7;-0,50%;-0,005
426,2;-0,50%;-0,005
426,7;-0,60%;-0,006
427,2;-0,60%;-0,006
427,6;-0,60%;-0,006
428,1;-0,70%;-0,007
428,6;-0,70%;-0,007
429,1;-0,80%;-0,008
429,6;-0,80%;-0,008
430;-0,80%;-0,008
430,5;-0,80%;-0,008
431;-0,70%;-0,007
431,5;-0,70%;-0,007
432;-0,70%;-0,007
432,5;-0,60%;-0,006
432,9;-0,60%;-0,006
433,4;-0,60%;-0,006
433,9;-0,50%;-0,005
434,4;-0,50%;-0,005
434,9;-0,50%;-0,005
435,4;-0,50%;-0,005
