399,7;0,00%;0
400,2;-1,20%;-0,012
400,6;-1,00%;-0,01
401,1;-0,80%;-0,008
401,6;-0,70%;-0,007
402,1;-0,70%;-0,007
402,6;-0,60%;-0,006
403;-0,60%;-0,006
403,5;-0,60%;-0,006
404;-0,60%;-0,006
404,5;-0,60%;-0,006
405;-0,60%;-0,006
405,5;-0,60%;-0,006
405,9;-0,70%;-0,007
406,4;-0,70%;-0,007
406,9;-0,80%;-0,008
407,4;-0,80%;-0,008
407,9;-0,90%;-0,009
408,4;-0,90%;-0,009
408,8;-0,90%;-0,009
409,3;-1,00%;-0,01
409,8;-1,00%;-0,01
410,3;-1,00%;-0,01
410,8;-1,00%;-0,01
411,2;-0,90%;-0,009
411,7;-0,90%;-0,009
412,2;-0,80%;-0,008
412,7;-0,80%;-0,008
413,2;-0,70%;-0,007
413,7;-0,70%;-0,007
414,1;-0,70%;-0,007
414,6;-0,70%;-0,007
415,1;-0,70%;-0,007
415,6;-0,70%;-0,007
416,1;-0,80%;-0,008
416,5;-0,80%;-0,008
417;-0,90%;-0,009
417,5;-0,90%;-0,009
418;-0,90%;-0,009
418,5;-0,90%;-0,009
419;-0,80%;-0,008
419,4;-0,70%;-0,007
419,9;-0,60%;-0,006
420,4;-0,50%;-0,005
420,9;-0,50%;-0,005
421,4;-0,50%;-0,005
421,9;-0,40%;-0,004
422,3;-0,40%;-0,004
422,8;-0,40%;-0,004
423,3;-0,50%;-0,005
423,8;-0,50%;-0,005
424,3;-0,50%;-0,005
424,7;-0,60%;-0,006
425,2;-0,60%;-0,006
425,7;-0,60%;-0,006
426,2;-0,60%;-0,006
426,7;-0,60%;-0,006
427,2;-0,60%;-0,006
427,6;-0,70%;-0,007
428,1;-0,70%;-0,007
428,6;-0,70%;-0,007
429,1;-0,80%;-0,008
429,6;-0,80%;-0,008
430;-0,80%;-0,008
430,5;-0,80%;-0,008
431;-0,80%;-0,008
431,5;-0,80%;-0,008
432;-0,80%;-0,008
432,5;-0,80%;-0,008
432,9;-0,80%;-0,008
433,4;-0,70%;-0,007
433,9;-0,70%;-0,007
434,4;-0,70%;-0,007
434,9;-0,60%;-0,006
435,4;-0,60%;-0,006
435,8;-0,60%;-0,006
436,3;-0,60%;-0,006
436,8;-0,60%;-0,006
437,3;-0,60%;-0,006
437,8;-0,60%;-0,006
438,2;-0,60%;-0,006
438,7;-0,60%;-0,006
439,2;-0,70%;-0,007
439,7;-0,70%;-0,007
440,2;-0,70%;-0,007
440,7;-0,70%;-0,007
441,1;-0,80%;-0,008
441,6;-0,80%;-0,008
442,1;-0,80%;-0,008
442,6;-0,90%;-0,009
443,1;-0,90%;-0,009
443,5;-0,90%;-0,009
444;-0,90%;-0,009
444,5;-0,80%;-0,008
445;-0,80%;-0,008
445,5;-0,80%;-0,008
446;-0,70%;-0,007
446,4;-0,70%;-0,007
446,9;-0,70%;-0,007
447,4;-0,70%;-0,007
447,9;-0,70%;-0,007
448,4;-0,70%;-0,007
448,9;-0,70%;-0,007
449,3;-0,60%;-0,006
449,8;-0,60%;-0,006
450,3;-0,60%;-0,006
450,8;-0,60%;-0,006
451,3;-0,70%;-0,007
451,7;-0,70%;-0,007
452,2;-0,70%;-0,007
452,7;-0,70%;-0,007
453,2;-0,70%;-0,007
453,7;-0,70%;-0,007
454,2;-0,70%;-0,007
454,6;-0,70%;-0,007
455,1;-0,70%;-0,007
455,6;-0,70%;-0,007
456,1;-0,70%;-0,007
456,6;-0,70%;-0,007
457;-0,60%;-0,006
457,5;-0,60%;-0,006
458;-0,60%;-0,006
458,5;-0,50%;-0,005
459;-0,50%;-0,005
459,5;-0,50%;-0,005
459,9;-0,40%;-0,004
460,4;-0,40%;-0,004
460,9;-0,40%;-0,004
461,4;-0,40%;-0,004
461,9;-0,40%;-0,004
462,3;-0,40%;-0,004
462,8;-0,40%;-0,004
463,3;-0,40%;-0,004
463,8;-0,50%;-0,005
464,3;-0,50%;-0,005
464,8;-0,50%;-0,005
465,2;-0,60%;-0,006
465,7;-0,60%;-0,006
466,2;-0,60%;-0,006
466,7;-0,50%;-0,005
467,2;-0,50%;-0,005
467,7;-0,50%;-0,005
468,1;-0,50%;-0,005
468,6;-0,50%;-0,005
469,1;-0,50%;-0,005
469,6;-0,50%;-0,005
470,1;-0,50%;-0,005
470,5;-0,50%;-0,005
471;-0,50%;-0,005
471,5;-0,60%;-0,006
472;-0,60%;-0,006
472,5;-0,60%;-0,006
473;-0,60%;-0,006
473,4;-0,50%;-0,005
473,9;-0,50%;-0,005
474,4;-0,50%;-0,005
474,9;-0,50%;-0,005
475,4;-0,50%;-0,005
475,8;-0,50%;-0,005
476,3;-0,50%;-0,005
476,8;-0,50%;-0,005
477,3;-0,50%;-0,005
477,8;-0,50%;-0,005
478,3;-0,50%;-0,005
478,7;-0,60%;-0,006
479,2;-0,60%;-0,006
479,7;-0,60%;-0,006
480,2;-0,60%;-0,006
480,7;-0,60%;-0,006
481,2;-0,60%;-0,006
481,6;-0,60%;-0,006
482,1;-0,60%;-0,006
482,6;-0,70%;-0,007
483,1;-0,70%;-0,007
483,6;-0,70%;-0,007
484;-0,70%;-0,007
484,5;-0,70%;-0,007
485;-0,70%;-0,007
485,5;-0,70%;-0,007
486;-0,70%;-0,007
486,5;-0,70%;-0,007
486,9;-0,70%;-0,007
487,4;-0,70%;-0,007
487,9;-0,70%;-0,007
488,4;-0,70%;-0,007
488,9;-0,70%;-0,007
489,3;-0,70%;-0,007
489,8;-0,70%;-0,007
490,3;-0,70%;-0,007
